datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,DPL,EASTON,23.239,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,SERC,WEST,EKPC,EKPC,1199.356,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,JC,JC,2133.965,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,ME,ME,1487.828,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,ATSI,OE,5770.297,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,OVEC,OVEC,24.000,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,ATSI,PAPWR,423.076,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,PE,PE,3807.155,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2599.310,False
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,PL,PLCO,3762.474,False
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,PN,PN,1548.743,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,PS,PS,4494.194,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,RECO,RECO,135.200,False
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,PEP,SMECO,341.250,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,PL,UGI,87.272,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,AE,VMEU,83.630,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RTO,RTO,RTO,RTO,81512.643,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,AE,AECO,1080.918,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPAPT,3829.252,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPIMP,3020.656,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPKPT,574.384,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPOPT,6633.184,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,AP,AP,4782.867,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,BC,BC,3117.583,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,CE,CE,9234.855,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,DAY,DAY,1645.612,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,DEOK,DEOK,2518.960,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,SERC,SOUTH,DOM,DOM,14915.771,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,DPL,DPLCO,1912.323,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,DUQ,DUQ,1276.584,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,DPL,EASTON,23.956,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,SERC,WEST,EKPC,EKPC,1223.878,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,JC,JC,2190.214,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,ME,ME,1546.360,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,ATSI,OE,5879.438,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,OVEC,OVEC,25.000,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,WEST,ATSI,PAPWR,451.528,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,PE,PE,3940.613,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2685.599,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,PL,PLCO,3903.178,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,PN,PN,1605.498,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,PS,PS,4593.013,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,RECO,RECO,138.526,False
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,PEP,SMECO,349.234,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,PL,UGI,90.611,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RFC,MIDATL,AE,VMEU,85.269,True
8/1/2025 9:00:00 AM,8/1/2025 5:00:00 AM,RTO,RTO,RTO,RTO,83274.864,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,AE,AECO,1103.981,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPAPT,3996.330,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPIMP,3067.204,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPKPT,588.256,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPOPT,6850.879,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,AP,AP,4932.837,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,BC,BC,3248.849,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,CE,CE,9586.580,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,DAY,DAY,1727.464,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,DEOK,DEOK,2639.661,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,SERC,SOUTH,DOM,DOM,15314.162,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,DPL,DPLCO,1991.231,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,DUQ,DUQ,1309.116,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,DPL,EASTON,25.980,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,SERC,WEST,EKPC,EKPC,1276.200,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,JC,JC,2304.796,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,ME,ME,1615.193,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,ATSI,OE,6109.515,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,OVEC,OVEC,31.000,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,WEST,ATSI,PAPWR,474.308,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,PE,PE,4080.596,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2881.657,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,PL,PLCO,4170.844,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,PN,PN,1716.212,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,PS,PS,4717.315,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,RECO,RECO,145.207,False
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,PEP,SMECO,361.541,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,PL,UGI,96.455,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RFC,MIDATL,AE,VMEU,89.229,True
8/1/2025 10:00:00 AM,8/1/2025 6:00:00 AM,RTO,RTO,RTO,RTO,86452.598,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,AE,AECO,1141.702,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPAPT,4055.495,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPIMP,3177.597,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPKPT,611.989,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPOPT,7072.186,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,AP,AP,5106.279,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,BC,BC,3362.880,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,CE,CE,10042.928,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,DAY,DAY,1821.460,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,DEOK,DEOK,2760.505,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,SERC,SOUTH,DOM,DOM,15695.902,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,DPL,DPLCO,2069.538,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,DUQ,DUQ,1365.921,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,DPL,EASTON,28.189,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,SERC,WEST,EKPC,EKPC,1316.776,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,JC,JC,2425.257,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,ME,ME,1699.191,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,ATSI,OE,6403.670,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,OVEC,OVEC,24.000,True
